ID,BINK_ID,CID_MIN,CID_MAX,LIC_TYPE,ACT_DAYS
00,42,005,084,Retail,30
01,42,093,098,Retail,30
02,42,099,100,TablePC,60
03,42,111,114,TablePC,60
04,42,337,369,TablePC,60
05,42,370,372,TablePC,60
06,42,373,373,Retail,30
07,42,374,376,TablePC,60
08,42,377,377,Retail,30
09,42,378,379,TablePC,60
10,42,380,380,Retail,30
11,42,755,789,Retail,30
12,42,101,101,Retail,30
13,42,119,119,OEM,30
14,42,120,163,Retail,30
15,42,164,169,Retail,30
16,42,170,269,Retail,30
17,43,005,014,Evaluation,14
18,43,015,019,Evaluation,14
19,43,020,023,Evaluation,120
20,43,024,063,Evaluation,14
21,43,064,068,Evaluation,14
22,43,101,110,Evaluation,14
23,43,112,113,Evaluation,120
24,43,136,145,Evaluation,14
25,43,146,147,Evaluation,120
26,43,152,157,Evaluation,14
27,44,005,083,Retail,30
28,44,085,092,Retail,30
29,44,099,104,TablePC,60
30,44,281,310,TablePC,60
31,44,720,729,TablePC,60
32,44,781,788,Retail,30
33,44,792,794,Retail,30
34,44,119,119,OEM,30
35,44,119,119,OEM,30
36,44,120,162,Retail,30
37,44,170,269,Retail,30
38,44,271,280,Retail,30
39,45,640,649,Corporate,None
40,45,650,654,Corporate,None
41,45,655,656,Corporate,None
42,50,001,002,Evaluation,14
43,50,640,649,Corporate,None
44,50,652,657,Corporate,None
45,51,306,370,Retail,30
46,51,371,410,TablePC,60
47,51,005,118,Retail,30
48,51,119,119,OEM,30
49,52,005,092,Retail,30
50,52,095,095,Retail,30
51,52,281,314,TablePC,60
52,52,319,330,TablePC,60
53,52,781,789,Retail,30
54,52,792,792,Retail,30
55,52,119,119,OEM,30
56,52,120,263,Retail,30
57,52,271,280,Retail,30
58,53,005,014,Evaluation,14
59,53,101,110,Evaluation,14
60,53,112,113,Evaluation,120
61,53,114,133,Evaluation,14
62,53,134,135,Evaluation,120
63,53,136,145,Evaluation,14
64,53,146,147,Evaluation,120
65,53,150,169,Evaluation,14
66,53,170,171,Evaluation,120
67,53,200,216,Evaluation,14
68,53,217,218,Evaluation,120
69,54,005,084,Retail,30
70,54,090,092,Retail,30
71,54,094,094,Retail,30
72,54,115,118,Retail,30
73,54,300,309,TablePC,60
74,54,119,119,OEM,30
75,54,120,263,Retail,30
Wardial,306-410
